NP	0.2921686746987952
DI	0.03313253012048193
NC	0.03313253012048193
Fc	0.015060240963855422
SP	0.1686746987951807
PD	0.009036144578313253
RG	0.045180722891566265
VM	0.08433734939759036
DA	0.13855421686746988
CC	0.03614457831325301
VS	0.02710843373493976
P0	0.02108433734939759
DD	0.018072289156626505
DP	0.018072289156626505
AQ	0.0030120481927710845
PI	0.006024096385542169
RN	0.009036144578313253
CS	0.012048192771084338
VA	0.006024096385542169
Fp	0.0030120481927710845
PP	0.012048192771084338
AO	0.0030120481927710845
Fi	0.006024096385542169
